inventario,cpm,cpc,cpv,ctr,viewability,alcance_estimado,frequencia_media,capacidade_investimento

Instagram Feed Ads,8.00,,,1.50,72,2000000,4,500000

Instagram Stories Ads,7.50,,,1.20,75,1800000,3.5,400000

Instagram Reels Ads,9.00,,,1.80,78,2200000,4.2,600000

Facebook Feed Ads,7.00,,,1.30,70,1500000,3.8,350000

Google Search Ads,,2.80,,5.00,,1500000,2.5,1000000

Google Responsive Search Ads,,2.60,,4.80,,1200000,2.4,800000

Google Display Banner,5.00,,,0.80,65,3000000,5,900000

YouTube In-stream,,,0.10,1.00,85,2500000,3.5,700000

YouTube Bumper,6.00,,,0.70,90,3000000,2.8,500000

GloboPlay AVOD,18.00,,,0.50,95,1000000,3,600000

Mercado Livre Retail Display,12.00,,,1.80,70,900000,4,450000

Mercado Livre Retail Search,,1.90,,6.00,,1100000,2.8,800000

Mercado Livre Retail Vídeo,15.00,,,1.10,82,700000,3,350000