inventario,objetivo,score_base,papel_preferencial,observacao
Google Search Ads,Conversão,5,PRINCIPAL,Captação direta de demanda
Google Responsive Search Ads,Conversão,5,PRINCIPAL,Melhor cobertura da intenção de busca
Instagram Feed Ads,Conversão,4,COMPLEMENTAR,Excelente desempenho para tráfego qualificado
Instagram Stories Ads,Conversão,3,APOIO,Boa resposta em campanhas promocionais
Instagram Reels Ads,Conversão,3,APOIO,Estimula descoberta e consideração
Facebook Feed Ads,Conversão,2,OPCIONAL,Menor eficiência relativa
Mercado Livre Retail Search,Conversão,5,PRINCIPAL,Alta intenção de compra
Mercado Livre Retail Display,Conversão,3,COMPLEMENTAR,Complementa Retail Search
Mercado Livre Retail Vídeo,Conversão,2,APOIO,Apoio visual ao produto
YouTube In-stream,Conversão,2,OPCIONAL,Mais indicado para reforço
YouTube Bumper,Conversão,1,OPCIONAL,Baixa capacidade de conversão direta
GloboPlay AVOD,Conversão,1,OPCIONAL,Mais aderente a Awareness
Google Display Banner,Conversão,2,OPCIONAL,Suporte e remarketing